Location,Drop point,Product Name,Article Number,Dimension(LxWxH)(cm),Weight(kg),Price(RM),Color,Description
1,1,KVARNVIK,304.668.70,25x18x15,0.42,35,Belge,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for jewellery, make-up or socks. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,504.128.76,25x18x15,0.42,35,Grey,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for jewellery, make-up or socks. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,504.594.87,35x32x32,1.41,59,Belge,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for things like games and clothes. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,904.669.52,35x32x32,1.41,59,Grey,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for things like games and clothes. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,904.594.85,35x25x20,0.86,49,Belge,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for both accessories and keepsakes. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,KVARNVIK,904.128.79,35x25x20,0.86,49,Grey,"This box is reminiscent of the elegant storage boxes of the past. The size is perfect for both accessories and keepsakes. Woven paper on the outside, and as the icing on the cake – a classic pattern inside."
1,1,HÖSSLA,105.126.70,0x13x15,0.23,8,White,"This bookend helps you keep your books in place on your desk, the kitchen counter or in a bookcase. You can also wedge important notes or photos in the openings on the outside of the bookend."
1,2,MURVEL,204.694.21,24x14x14,0.1,5,Grey,"Twice as many shoes in the same space? Yes, it’s actually possible – since you can store shoes vertically in MURVEL shoe storage. An easy way to organise and save space."
1,3,LAGERPOPPEL,605.618.04,50x50x0,0.21,15,Blue-Grey,"LAGERPOPPEL cushion cover in blue-grey has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
1,3,LAGERPOPPEL,705.618.13,50x50x0,0.21,15,Grey-Green,"LAGERPOPPEL cushion cover in grey-green has a textured, matte-sheen surface and flange edging that adds style and stability to the cushion. Matches SANDBRODD and HORNMAL throws and INDIRA bedspreads."
